id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
106,Josh,Murphy,5,97,3,3,0,55,1306,24,147.1,195.6,459.0,1,116,79.4,5,0,1,0.3,48
107,Kenneth,Zohore,5,97,4,1,1,23,438,13,95.5,80.0,219.0,2,57,39.4,1,0,1,0.6,46
108,Omar,Bogle,5,97,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
109,Gary,Madine,5,97,4,0,0,5,32,3,1.5,2.0,8.0,0,13,1.0,0,0,0,0.9,44
110,Bobby,Reid,5,97,4,4,3,66,1156,24,162.0,239.6,296.0,7,220,69.3,3,0,0,1.3,52
176,Oumar,Niasse,5,97,4,0,0,15,427,6,61.8,31.6,156.0,0,18,24.8,2,0,0,0.4,50
467,Greg,Cunninghamm,5,97,2,0,0,9,630,17,69.7,106.4,19.0,0,72,19.6,1,0,3,0.0,42
504,Víctor,Camarasa,5,97,3,3,3,73,1889,43,590.8,372.8,235.0,4,281,120.0,6,0,5,2.3,46
535,Kadeem,Harris,5,97,3,1,1,23,355,6,87.7,85.2,87.0,0,77,26.0,1,0,1,0.0,45
537,Brian,Murphy,5,97,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
573,Rhys,Healey,5,97,4,0,0,1,17,0,0.3,1.2,0.0,0,1,0.2,0,0,0,0.1,45
589,Leandro,Bacuna,5,97,2,0,0,2,212,9,15.5,23.0,18.0,0,23,5.6,0,0,1,0.0,45
111,Thibaut,Courtois,6,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,55
112,Willy,Caballero,6,8,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47
113,César,Azpilicueta,6,8,2,0,3,98,2340,29,394.7,524.8,128.0,4,562,105.2,11,0,1,8.0,63
114,Gary,Cahill,6,8,2,0,0,1,21,0,0.0,2.8,0.0,0,3,0.3,0,0,0,0.5,50
115,Marcos,Alonso,6,8,2,1,7,125,2219,24,404.9,456.2,352.0,16,554,121.5,11,0,5,27.6,64
116,David,Luiz Moreira Marinho,6,8,2,2,2,117,2250,27,273.7,616.8,243.0,16,568,113.2,11,0,2,11.9,59
117,Victor,Moses,6,8,2,0,0,2,26,1,12.7,1.2,6.0,0,3,2.0,0,0,0,1.3,55
118,Antonio,Rüdiger,6,8,2,1,1,92,2228,29,134.9,465.6,236.0,7,493,83.8,10,0,4,3.4,59
119,Andreas,Christensen,6,8,2,0,0,6,180,2,3.3,42.0,0.0,0,42,4.5,1,0,1,0.4,50
120,Davide,Zappacosta,6,8,2,0,0,2,18,0,0.4,3.8,21.0,0,5,2.5,0,0,0,0.1,50
121,Emerson,Palmieri dos Santos,6,8,2,0,0,3,120,5,8.4,21.0,13.0,0,23,4.3,0,0,0,0.1,52
122,Eden,Hazard,6,8,3,12,10,165,2015,26,987.1,902.4,1062.0,21,594,295.5,9,0,2,24.3,108
123,Cesc,Fàbregas,6,8,3,0,0,6,175,2,58.5,37.0,14.0,0,36,10.9,0,0,1,0.3,62
124,Willian,Borges Da Silva,6,8,3,3,5,86,1616,20,907.2,444.6,586.0,3,385,193.9,10,0,1,3.9,71
125,Pedro,Rodríguez Ledesma,6,8,3,7,1,86,1220,15,305.6,403.4,567.0,11,323,127.2,4,0,1,3.1,63
126,N'Golo,Kanté,6,8,3,3,4,90,2318,29,576.5,519.8,273.0,3,429,137.0,11,0,3,18.8,50
127,Ross,Barkley,6,8,3,3,4,65,890,10,235.0,257.4,326.0,5,229,81.5,6,0,1,1.4,51
128,Daniel,Drinkwater,6,8,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,46
129,Tiemoué,Bakayoko,6,8,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49
130,Ethan,Ampadu,6,8,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
131,Callum,Hudson-Odoi,6,8,3,0,0,4,74,1,5.1,3.2,6.0,0,13,1.2,0,0,0,2.2,42
132,Ruben,Loftus-Cheek,6,8,3,3,0,33,372,4,83.6,156.8,123.0,3,113,36.2,1,0,0,0.4,52
133,Olivier,Giroud,6,8,4,1,4,42,651,4,224.3,146.0,324.0,2,128,68.4,5,0,1,1.8,77
134,Álvaro,Morata,6,8,4,5,0,46,936,11,130.2,219.8,523.0,3,119,86.3,6,0,3,1.4,84
459,Jorge Luiz,Frello Filho,6,8,3,1,0,62,2162,27,413.4,455.8,73.0,1,382,94.3,11,0,5,5.6,46
496,Tammy,Abraham,6,8,4,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,54
498,Kepa,Arrizabalaga,6,8,1,0,0,100,2340,29,0.1,447.4,0.0,4,493,44.5,11,0,1,4.6,55
499,Mateo,Kovacic,6,8,3,0,2,51,1250,16,364.6,228.6,262.0,2,258,85.8,7,0,1,0.7,57
579,Gonzalo,Higuaín,6,8,4,2,0,17,244,8,55.3,84.0,139.0,3,71,27.8,1,0,0,2.6,95
135,Wayne,Hennessey,7,31,1,0,0,64,1485,25,0.0,333.8,0.0,6,295,33.4,5,0,0,2.9,45
136,Julian,Speroni,7,31,1,0,0,1,90,4,0.0,31.4,0.0,0,16,3.1,0,0,0,11.2,39
137,Vicente,Guaita,7,31,1,0,0,40,854,6,0.0,145.0,0.0,2,169,14.5,4,0,2,1.6,42
138,James,Tomkins,7,31,2,1,1,70,2039,29,70.4,444.6,236.0,0,402,75.4,8,0,5,3.3,43
139,Scott,Dann,7,31,2,0,0,2,14,0,0.0,0.2,0.0,0,6,0.0,0,0,0,0.0,44
140,Martin,Kelly,7,31,2,0,0,12,390,6,5.3,106.0,4.0,1,63,11.6,1,0,0,4.8,39
141,Jeffrey,Schlupp,7,31,2,4,1,66,1099,17,133.4,287.2,345.0,2,202,76.8,2,0,1,2.6,44
142,Patrick,van Aanholt,7,31,2,1,2,99,2394,33,415.6,440.4,350.0,13,458,120.7,9,0,3,4.9,54
143,Mamadou,Sakho,7,31,2,0,0,88,2416,35,78.2,540.6,47.0,13,533,66.6,9,0,2,1.9,49
144,Jairo,Riedewald,7,31,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43
145,Aaron,Wan-Bissaka,7,31,2,0,1,84,2234,32,198.2,595.6,127.0,14,462,92.3,9,1,4,27.6,45
147,James,McArthur,7,31,3,2,5,87,2233,33,362.5,479.2,323.0,5,338,116.5,9,0,6,3.0,48
148,Bakary,Sako,7,31,3,0,0,1,1,0,0.0,0.0,0.0,0,4,0.0,0,0,0,0.0,49
149,Andros,Townsend,7,31,3,4,3,96,2379,33,718.0,526.6,401.0,5,369,164.7,9,0,1,4.1,59
150,Luka,Milivojevic,7,31,3,8,1,113,2430,35,558.4,754.6,379.0,17,500,169.3,9,0,8,6.9,62
151,Wilfried,Zaha,7,31,4,7,5,89,2063,32,523.1,497.2,854.0,9,282,187.5,7,1,6,11.8,68
152,Christian,Benteke,7,31,4,0,0,12,467,6,65.3,18.4,239.0,0,7,31.3,2,0,0,0.4,63
153,Alexander,Sørloth,7,31,4,0,0,12,173,3,38.3,19.2,59.0,0,32,11.3,0,0,0,0.1,48
412,Cheikhou,Kouyaté,7,31,3,0,2,50,1445,22,170.6,228.2,171.0,0,179,56.7,8,0,2,0.2,47
441,Joel,Ward,7,31,2,0,0,4,191,4,3.5,47.0,4.0,0,18,5.5,0,0,0,0.2,43
442,Jaroslaw,Jach,7,31,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
443,Pape,Souaré,7,31,2,0,0,1,1,0,0.1,1.0,0.0,0,3,0.1,0,0,0,0.1,42
444,Connor,Wickham,7,31,4,0,1,8,60,1,41.9,23.2,53.0,0,20,11.8,0,0,0,0.1,49
477,Sullay,Kaikai,7,31,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
486,Max,Meyer,7,31,3,1,3,46,983,16,229.6,181.4,352.0,0,169,76.1,4,0,2,0.2,56
505,Jordan,Ayew,7,31,4,1,2,40,1087,12,169.5,130.8,369.0,2,98,66.8,5,0,3,0.2,57
576,Joe,Tupper,7,31,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
584,Lucas,Perri,7,31,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
592,Michy,Batshuayi,7,31,4,1,1,12,123,1,3.9,54.4,118.0,1,36,17.7,0,0,0,1.0,65
154,Jordan,Pickford,8,11,1,0,0,104,2520,39,10.0,606.0,0.0,10,485,61.6,7,0,1,12.7,49
