assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,209037,0,0,0,0,0.0,0,0,2,-0.5,0.5,0,Zech,0.0,0,0,0.0,546,False,0.0,0,0,0,0,0,,None,40,0,0,0,209037.jpg,0.0,0,0,Medley,0.1,False,47,a,1,3,0.0,0,5661,6,3996,2,0.0,0.0,Medley,0
0,0,3,None,None,0,205533,0,0,0,0,0.0,0,0,4,-0.5,0.5,0,Edward,0.0,0,0,0.0,552,False,0.0,0,0,0,0,1,,None,50,0,0,0,205533.jpg,1.0,0,0,Nketiah,0.0,False,49,a,1,3,0.0,1,2666,5,2132,4,0.0,0.2,Nketiah,0
0,0,3,None,None,0,223340,0,0,0,0,0.0,0,0,3,-0.5,0.5,0,Bukayo,0.0,0,0,0.0,563,False,0.0,0,0,0,0,7,,None,45,0,0,0,223340.jpg,1.0,0,0,Saka,0.0,False,87,a,1,3,0.0,1,829,1,584,1,0.0,0.2,Saka,0
0,0,3,None,None,0,200089,0,0,0,0,0.0,0,0,3,-0.3,0.7,0,Joseph,0.2,1,0,0.1,566,False,1.0,0,0,0,0,2,,None,45,0,0,0,200089.jpg,1.0,0,0,Willock,0.0,False,59,a,1,3,0.0,1,363,2,252,0,0.0,0.2,Willock,0
0,0,4,None,None,0,80254,0,0,0,0,0.3,0,0,2,-0.3,0.7,0,Carl,0.2,1,0,0.2,581,False,1.4,0,0,0,0,30,,None,45,0,0,0,80254.jpg,1.0,0,0,Jenkinson,0.0,False,25,a,1,3,0.0,1,206,1,108,1,0.0,0.2,Jenkinson,0
0,0,4,None,None,0,89572,0,0,-2,2,1.3,0,0,3,0.0,1.0,0,Denis,0.5,1,0,0.5,586,False,3.2,0,0,0,0,38,,None,63,0,0,0,89572.jpg,1.0,0,0,Suárez,0.2,False,22,a,1,3,0.0,2,26537,13,14564,220,0.1,0.3,Suárez,0
0,4,348,100,100,5,40349,0,0,-2,2,0.0,0,0,1,-1.0,-0.5,0,Asmir,0.0,42,0,42.2,24,False,421.0,0,0,0,0,1980,,2018-11-13T09:31:15Z,43,0,0,0,40349.jpg,2.8,0,57,Begovic,3.1,False,27,a,2,91,0.0,61,148360,38,235411,116,0.0,14.2,Begovic,0
0,2,98,None,None,2,18726,0,0,0,0,0.0,1,0,1,2.2,2.7,0,Artur,3.2,6,0,12.9,25,False,128.4,0,0,0,0,450,,None,40,0,0,0,18726.jpg,4.4,0,18,Boruc,8.2,False,1,a,2,91,0.0,22,273432,798,193895,141,0.8,5.5,Boruc,1
2,0,244,0,0,4,15149,0,0,-2,2,173.3,0,0,2,0.0,0.0,0,Simon,0.0,24,0,54.4,26,False,332.4,0,0,0,0,1227,Anterior cruciate ligament  - Expected back 25 Jun,2018-12-26T18:01:16Z,43,0,0,0,15149.jpg,2.4,0,0,Francis,0.2,False,2,i,2,91,39.0,40,25341,0,41824,10,0.0,9.3,Francis,1
1,5,453,0,0,7,56917,0,0,-1,1,109.2,1,0,2,0.0,0.0,0,Steve,1.6,47,1,101.4,27,False,627.0,0,0,0,0,2340,Groin Injury - Expected back 02 Mar,2019-02-23T20:01:19Z,44,1,0,0,56917.jpg,2.7,0,0,Cook,5.8,False,3,i,2,91,279.0,70,764554,25,599726,1474,0.4,15.9,Steve Cook,2
0,0,222,100,100,3,41320,0,0,-4,4,189.9,0,0,2,0.4,0.9,0,Charlie,1.4,28,1,55.9,28,False,244.4,0,0,0,0,1224,,2018-10-27T14:01:13Z,41,0,0,0,41320.jpg,2.2,0,0,Daniels,3.7,False,11,a,2,91,124.0,35,106067,177,752651,98,0.3,8.5,Daniels,2
0,0,259,100,100,6,54469,0,0,-2,2,106.4,0,0,2,0.4,0.9,0,Adam,1.4,20,1,44.7,29,False,239.8,0,0,0,0,1505,,2018-11-10T17:31:13Z,43,0,0,0,54469.jpg,2.8,1,0,Smith,0.5,False,15,a,2,91,100.0,51,70979,59,82081,26,0.3,11.9,Adam Smith,4
0,0,41,0,0,0,149484,0,0,-3,3,16.3,0,0,2,0.0,0.0,0,Tyrone,0.0,4,0,6.8,30,False,49.0,0,0,0,0,141,Season-long loan to Aston Villa,2019-01-31T14:31:18Z,42,0,0,0,149484.jpg,1.0,0,0,Mings,0.1,False,26,u,2,91,2.0,5,2380,1,8948,4,0.0,1.2,Mings,0
0,6,489,75,75,7,126184,0,0,0,0,38.3,0,0,2,0.8,1.1,0,Nathan,2.0,48,3,105.7,31,False,707.2,0,0,0,0,2421,,2018-12-30T19:01:16Z,50,0,0,0,126184.jpg,3.1,0,0,Aké,5.1,False,5,a,2,91,311.0,84,330327,344,288516,248,0.4,16.8,Aké,2
0,0,0,None,None,0,222434,0,0,-2,2,0.0,0,0,2,-1.0,-0.5,0,Jack,0.0,0,0,0.0,32,False,0.0,0,0,0,0,0,,None,38,0,0,0,222434.jpg,0.0,0,0,Simpson,5.9,False,25,a,2,91,0.0,0,238091,620,242750,240,0.0,0.0,Simpson,0
0,0,0,0,0,0,20037,0,0,-2,2,0.0,0,0,3,0.0,0.0,0,Marc,0.0,0,0,0.0,34,False,0.0,0,0,0,0,0,Season-long loan to Hull City,2019-01-23T10:33:34Z,43,0,0,0,20037.jpg,0.0,0,0,Pugh,0.4,False,7,u,2,91,0.0,0,8786,1,30911,7,0.0,0.0,Pugh,0
0,0,165,None,None,3,15237,0,0,-4,4,145.0,0,0,3,0.2,0.7,0,Andrew,1.2,31,0,32.1,35,False,139.2,0,0,0,0,1168,,None,46,0,0,0,15237.jpg,1.9,0,0,Surman,0.2,False,6,a,2,91,36.0,29,10061,2,24059,3,0.3,6.3,Surman,2
3,3,176,0,0,2,56872,0,0,0,0,250.6,0,0,3,0.0,0.0,0,Junior,1.6,23,1,75.1,36,False,187.8,0,0,0,0,957,Thigh injury - Expected back 02 Mar,2019-02-09T17:01:20Z,60,0,0,0,56872.jpg,2.5,0,0,Stanislas,0.1,False,19,i,2,91,312.0,47,11352,0,12287,21,0.3,7.8,Stanislas,1
1,0,145,100,100,3,40387,0,0,-3,3,103.2,0,0,3,0.6,1.1,0,Dan,1.6,21,0,45.1,37,False,212.2,0,0,0,0,1264,,2019-01-09T14:31:17Z,47,0,0,0,40387.jpg,1.7,0,0,Gosling,0.1,False,4,a,2,91,137.0,33,5548,10,8278,8,0.3,7.0,Gosling,5
1,0,64,None,None,0,103912,0,0,-5,5,148.6,0,0,3,0.6,1.1,0,Jordon,1.6,15,0,31.9,38,False,71.8,0,0,0,0,508,,None,50,0,0,0,103912.jpg,1.4,0,0,Ibe,0.2,False,10,a,2,91,98.0,20,4345,5,25696,4,0.3,4.0,Ibe,0
0,0,91,0,0,3,155408,0,0,-3,3,50.4,0,0,3,0.0,0.0,0,Lewis,0.0,10,0,16.5,39,False,76.0,0,0,0,0,719,Anterior cruciate ligament  - Expected back 04 Jun,2018-12-06T14:31:16Z,47,0,0,0,155408.jpg,1.7,0,0,Cook,0.1,False,16,i,2,91,36.0,22,6976,0,19941,2,0.0,4.7,Lewis Cook,2
9,15,521,100,100,6,90105,0,0,6,-6,912.1,4,0,3,1.0,1.5,0,Ryan,2.0,43,5,200.9,40,False,634.6,0,0,0,0,2209,,2019-01-11T10:01:18Z,61,0,0,0,90105.jpg,4.6,0,0,Fraser,20.5,False,24,a,2,91,459.0,124,3067543,1138,2044160,1831,0.3,20.3,Fraser,1
0,0,0,0,0,0,122342,0,0,0,0,0.0,0,0,3,0.0,0.0,0,Emerson,0.0,0,0,0.0,41,False,0.0,0,0,0,0,0,Loaned to Hibernian,2018-08-09T20:43:58Z,45,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22,u,2,91,0.0,0,98,0,2718,1,0.0,0.0,Hyndman,0
4,6,289,0,0,7,111317,0,0,0,0,330.2,2,0,3,0.0,0.0,0,David,2.4,29,6,131.0,42,False,457.0,0,0,0,0,1585,Ankle injury - Expected back 09 Mar,2019-01-30T22:01:18Z,50,0,0,0,111317.jpg,4.3,0,0,Brooks,2.8,False,20,i,2,91,522.0,94,713643,113,566954,983,0.5,18.8,Brooks,2
8,14,367,0,0,6,75115,0,0,3,-3,314.8,5,0,4,0.0,0.0,0,Callum,0.0,31,10,155.5,43,False,490.2,0,0,0,0,1726,Knee injury - Expected back 09 Mar,2019-01-09T14:31:17Z,63,0,1,0,75115.jpg,5.4,0,0,Wilson,10.5,False,13,i,2,91,753.0,114,3318096,64,3134364,1269,0.0,18.1,Wilson,3
0,0,40,100,100,0,178304,0,0,-1,1,46.8,0,0,4,-0.4,0.1,0,Lys,0.6,9,0,14.7,44,False,18.4,0,0,0,0,196,,2018-09-01T13:01:13Z,49,0,0,0,178304.jpg,0.9,0,0,Mousset,0.2,False,9,a,2,91,85.0,17,12194,7,19461,9,0.1,3.5,Mousset,1
3,17,356,100,100,7,78007,0,0,-1,1,389.4,3,0,4,4.4,4.9,0,Joshua,5.4,36,9,166.7,45,False,502.0,0,0,0,0,2035,,2019-01-21T15:01:18Z,64,0,1,0,78007.jpg,4.4,0,0,King,6.1,False,17,a,2,91,780.0,106,740277,2072,801811,546,0.8,16.6,King,1
0,0,12,0,0,0,7958,0,0,-4,4,0.0,0,0,4,0.0,0.0,0,Jermain,0.0,2,0,2.6,46,False,3.0,0,0,0,0,22,Joined Rangers on an 18-month loan deal,2019-01-07T00:31:16Z,56,0,0,0,7958.jpg,1.0,0,0,Defoe,0.4,False,18,u,2,91,23.0,4,9959,1,44286,7,0.0,0.7,Defoe,0
0,0,97,100,100,2,57328,0,0,-6,6,24.2,0,0,2,0.6,1.1,0,Nathaniel,1.6,6,0,16.5,241,False,101.0,0,0,0,0,558,,2019-02-06T01:31:23Z,44,0,0,0,57328.jpg,2.2,0,0,Clyne,0.8,False,23,a,2,91,40.0,20,64161,128,52820,83,0.4,4.5,Clyne,1
0,0,13,100,100,0,154566,0,0,-3,3,25.8,0,0,4,0.0,0.5,0,Dominic,1.0,3,0,15.4,259,False,32.8,0,0,0,0,182,,2018-11-28T00:01:15Z,47,0,0,0,154566.jpg,1.7,0,0,Solanke,0.5,False,29,a,2,91,95.0,5,31092,172,27239,65,0.2,1.1,Solanke,0
0,0,73,75,75,0,171129,0,0,-4,4,151.4,0,0,2,-0.8,-0.4,0,Diego,0.0,16,0,26.6,473,False,96.0,0,0,0,0,500,,2018-09-28T10:01:14Z,41,0,0,0,171129.jpg,0.5,0,0,Rico,0.0,False,21,a,2,91,19.0,4,7204,5,7701,6,0.0,1.0,Rico,1
1,3,250,0,0,6,152551,0,0,0,0,151.3,0,0,3,0.0,0.0,0,Jefferson,0.8,34,1,64.7,494,False,341.2,0,0,0,0,1742,Suspended until 09 Mar,2019-02-23T18:01:19Z,45,1,0,0,152551.jpg,2.1,0,0,Lerma,0.3,False,8,s,2,91,153.0,45,44133,0,46978,47,0.2,10.0,Lerma,10
0,0,20,None,None,0,223911,0,0,0,0,0.3,0,0,2,-0.2,0.3,0,Chris,0.8,1,0,1.9,580,False,14.4,0,0,0,0,101,,None,45,0,0,0,223911.jpg,1.3,0,0,Mepham,0.0,False,33,a,2,91,4.0,4,451,2,138,1,0.2,0.9,Mepham,0
0,0,0,None,None,0,217331,0,0,0,0,0.0,0,0,4,-1.0,-0.5,0,Sam,0.0,0,0,0.0,599,False,0.0,0,0,0,0,0,,None,45,0,0,0,217331.jpg,0.0,0,0,Surridge,0.1,False,44,a,2,91,0.0,0,5044,74,1901,33,0.0,0.0,Surridge,0
0,0,0,None,None,0,431774,0,0,0,0,0.0,0,0,3,-1.0,-0.5,0,Kyle,0.0,0,0,0.0,600,False,0.0,0,0,0,0,0,,None,45,0,0,0,431774.jpg,0.0,0,0,Taylor,0.0,False,28,a,2,91,0.0,0,95,0,39,0,0.0,0.0,Taylor,0
0,7,368,100,100,4,131897,0,0,-1,1,0.0,0,0,1,2.0,1.5,1,Mathew,2.0,36,0,47.4,47,False,473.6,0,0,0,0,2070,,2018-12-26T22:31:37Z,44,0,0,0,131897.jpg,3.1,0,66,Ryan,2.9,False,1,a,3,36,0.0,71,257182,322,369010,64,0.5,16.1,Ryan,1
0,5,399,100,75,5,83299,-1,1,-1,1,74.3,1,0,2,1.8,1.0,1,Lewis,1.8,37,2,80.6,48,False,562.2,0,0,0,0,2161,,2019-02-16T17:31:21Z,44,0,0,0,83299.jpg,2.6,1,0,Dunk,2.2,False,5,a,3,36,166.0,64,292787,124,329288,183,0.4,14.2,Dunk,4
2,6,411,100,100,5,61933,1,-1,2,-2,50.5,3,0,2,3.3,2.8,1,Shane,3.3,36,5,116.2,49,False,727.6,0,0,0,0,2097,,2018-12-04T22:01:16Z,47,0,0,0,61933.jpg,3.7,1,0,Duffy,5.7,False,4,a,3,36,382.0,88,649076,2014,492864,267,0.7,19.1,Duffy,4
1,4,132,100,100,3,11352,0,0,-1,1,65.3,1,0,2,0.0,-0.5,0,Bruno,0.0,6,0,18.4,50,False,104.4,0,0,0,0,619,,2018-12-01T17:31:14Z,44,0,0,0,11352.jpg,3.9,0,0,Saltor Grau,0.3,False,2,a,3,36,14.0,31,50207,7,51728,8,0.0,7.0,Bruno,2
0,0,226,100,100,4,42748,0,0,-1,1,151.1,0,0,2,2.0,1.5,1,Gaëtan,2.0,31,0,35.4,51,False,196.4,0,0,0,0,1625,,2018-10-20T13:01:16Z,44,0,0,0,42748.jpg,2.0,0,0,Bong,0.1,False,3,a,3,36,8.0,41,8615,28,11221,4,0.5,9.3,Bong,0
0,0,0,0,0,0,43808,0,0,-2,2,0.0,0,0,2,0.0,0.0,0,Markus,0.0,0,0,0.0,52,False,0.0,0,0,0,0,0,Season-long loan to Fortuna Dusseldorf,2019-01-18T19:01:19Z,38,0,0,0,43808.jpg,0.0,0,0,Suttner,4.4,False,29,u,3,36,0.0,0,121953,20,328341,187,0.0,0.0,Suttner,0
0,0,0,0,0,0,74375,0,0,-2,2,0.0,0,0,2,0.0,0.0,0,Ezequiel,0.0,0,0,0.0,53,False,0.0,0,0,0,0,0,Season-long loan to Chievo,2019-01-28T14:31:21Z,38,0,0,0,74375.jpg,0.0,0,0,Schelotto,1.8,False,21,u,3,36,0.0,0,84200,16,121864,113,0.0,0.0,Schelotto,0
0,0,86,0,0,0,52484,0,0,-3,3,1.1,1,0,2,0.0,0.0,0,Leon,0.0,10,1,16.2,54,False,134.0,0,0,0,0,591,Knock - Unknown return date,2019-02-16T17:31:21Z,42,0,0,0,52484.jpg,1.9,0,0,Balogun,0.1,False,14,i,3,36,27.0,15,9216,0,13022,19,0.0,3.6,Balogun,2
5,1,209,None,None,2,83543,0,0,-3,3,371.7,0,0,3,1.8,1.3,2,Anthony,1.8,27,1,92.7,55,False,278.2,0,0,0,0,1289,,None,52,0,0,0,83543.jpg,2.5,0,0,Knockaert,0.4,False,11,a,3,36,277.0,55,146945,35,155237,8,0.3,10.6,Knockaert,3
